,SMILES,ERE,HRE,rings,fused,bridged,F,S,O,Si,N
0,c1cc2cc3cc4ccc5c6ccc7c8ccc9cc%10cc%11ccsc%11cc%10cc9c8sc7c6sc5c4cc3cc2s1,0.094844469,0.067059772,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0
1,c1cc2cc3cc4c(ccc5c4sc4ccc6sc7c8cc9cc%10ccsc%10cc9cc8ccc7c6c45)cc3cc2s1,0.096297569,0.064380788,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0
2,c1cc2cc3cc4ccc5c(sc6ccc7sc8c9cc%10cc%11sccc%11cc%10cc9ccc8c7c65)c4cc3cc2s1,0.099265269,0.081738808,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0
3,c1cc2ccc3c4cc5cc6ccc7cc8cc9c(cc8cc7c6cc5cc4sc3c2s1)sc1c9ccc2ccsc21,0.151388855,0.113010674,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0
4,c1cc2c(ccc3c4cc5cc6ccc7cc8cc9c(cc8cc7c6cc5cc4sc23)sc2c3ccsc3ccc92)s1,0.178413259,0.150480531,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0
5,c1cc2c(ccc3c4cc5cc6c(ccc7cc8cc9sc%10c%11ccsc%11ccc%10c9cc8cc76)cc5cc4sc23)s1,0.18914661,0.192927937,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0
6,c1cc2cc3cc4c(ccc5c6ccc7c8ccc9cc%10cc%11sccc%11cc%10cc9c8sc7c6sc45)cc3cc2s1,0.085880961,0.064885836,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0
7,c1cc2ccc3c4cc5cc6c(ccc7cc8cc9sc%10c(ccc%11ccsc%11%10)c9cc8cc76)cc5cc4sc3c2s1,0.169662546,0.120751564,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0
8,c1cc2c3ccc4c(cc5cc6ccc7sccc7c6c6cccc4c56)c3cc3cc4ccc5sccc5c4c(c1)c32,0.167366429,0.171998391,11.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0
9,c1cc2c3c(ccc4sccc43)cc3cc4ccc5cc6cc7ccc8sccc8c7c7cccc(c67)c5c4c(c1)c32,0.185603113,0.167351191,11.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0
10,S1C=C2C=C3SC4=CC=CC=C4C3=CC2=C1,0.22,0.11,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
11,S1C=CC=2C=C3C=C4C=CSC4=CC3=CC12,0.21,0.11,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
12,S1C=C2C=C3C=C4SC=CC4=CC3=CC2=C1,0.17,0.08,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
13,S1C=CC=2C=C3C(SC=4C=CC=CC43)=CC12,0.2,0.12,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
14,S1C=2C=CC=CC2C=3SC=4C=CC=CC4C13,0.3,0.23,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
15,S1C=CC=2C=C3SC=4C=CC=CC4C3=CC12,0.27,0.11,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
16,S1C=2C=CC=CC2C=3C=C4SC=5C=C6C(SC=7C=CC=CC76)=CC5C4=CC13,0.21,0.13,7.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0
17,S1C=CC=2C1=C3C=4C=CC=CC4C=5C=CC=6C=CC=CC6C5C3=C7C=CC=CC27,0.29,0.3,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
18,S1C=CC=2C=C3C=C4SC5=C(C=CC=6C=C7C=CSC7=CC65)C4=CC3=CC12,0.18,0.09,7.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0
19,S1C=CC=2C=C3C(SC=4C=CC=5C=C6SC=7C=CSC7C6=CC5C43)=CC12,0.2,0.12,7.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0
20,S1C=CC=2C=CC3=C(C=CC=4SC=5C=C6C(C=CC=7C=CSC76)=CC5C43)C12,0.18,0.13,7.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0
21,S1C=CC2=CC3=C(C=CC4=C3SC5=CC6=CC=7C=CSC7C=C6C=C54)C=C12,0.16,0.09,7.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0
22,S1C=2C=CC=CC2C=3C=C4SC=5C=CC=CC5C4=CC13,0.25,0.13,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
23,S1C=CC=2C=C3SC=4C=C5C=CSC5=CC4C3=CC12,0.24,0.13,5.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0
24,S1C=CC=2C=C3SC4=CC=C5C=CC=CC5=C4C3=CC12,0.25,0.15,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
25,S1C=C2C=C3C=C4SC5=CC=CC=C5C4=CC3=CC2=C1,0.18,0.08,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
26,S1C=CC=2C=C3SC=4C=5C=CC=CC5C=CC4C3=CC12,0.25,0.12,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
27,S1C=CC=2C=C3SC=CC3=CC12,0.31,0.14,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
28,S1C=CC=2C=CC=3C=CC=CC3C12,0.23,0.21,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
29,S1C=CC=2C=C3C=CSC3=CC12,0.26,0.11,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
30,c1ccc2c(c1)ccc1sccc12,0.280853334,0.238164479,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
31,S1C=CC=2C=C3SC=4C=C5C(SC=6C=C7C(SC=8C=C9C=CSC9=CC87)=CC65)=CC4C3=CC12,0.18,0.08,9.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0
32,c1cc2cc3cc4cc5ccc6c7cc8cc9sccc9cc8cc7ccc6c5cc4cc3cc2s1,0.102363039,0.06776156,9.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0
33,c1ccc2cc3c(ccc4cc5cc6ccc7cc8cc9ccsc9cc8cc7c6cc5cc43)cc2c1,0.168404281,0.098754779,9.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
34,S1C=2C=CC=3C=CC=CC3C2C=4SC=5C=CC=6C=CC=CC6C5C14,0.21,0.2,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
35,S1C2=CC=3C=CC=CC3C=C2C=4SC=5C=C6C=CC=CC6=CC5C14,0.19,0.12,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
36,S1C2=CC3=CC=CC=4C=CC=C(C43)C2=C5SC6=CC=7C=CC=C8C=CC=C(C87)C6=C15,0.15,0.11,8.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0
37,S1C2=CC=3C=CC=CC3C=C2C=4SC=5C=C6C=C7C(SC8=C7SC=9C=C%10C=CC=CC%10=CC98)=CC6=CC5C14,0.27,0.1,10.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0
38,c1ccc2c(c1)c1ccccc1c1c3ccc4cc5cc6cc7cc8cc9cc%10sccc%10cc9cc8cc7cc6cc5cc4c3ccc21,0.090617416,0.069422013,12.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
39,c1ccc2c(c1)c1ccccc1c1cc3cc4cc5c(ccc6c7cc8cc9cc%10cc%11cc%12ccsc%12cc%11cc%10cc9cc8cc7ccc56)cc4cc3cc21,0.069502287,0.050790217,14.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0
40,c1ccc2c(c1)c1ccccc1c1c3cc4c(cc3ccc21)sc1c4cc2cc3c4cc5cc6c7cc8c(ccc9c%10ccccc%10c%10ccccc%10c89)cc7sc6c6cccc(c4ccc3c3cccc1c23)c56,0.161182045,0.196852397,19.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0
41,c1cc2cc3cc4cc5cc6ccc7cc8cc9cc%10cc%11ccsc%11cc%10cc9cc8cc7c6cc5cc4cc3cc2s1,0.104835215,0.073710564,11.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0
42,c1ccc2c(c1)c1ccccc1c1cc3cc4cc5c(ccc6sccc65)cc4cc3cc21,0.129150158,0.099035875,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
43,c1cc2cc3cc4cc5ccc6cc7ccc8cc9ccc%10c%11cc%12cc%13sccc%13cc%12cc%11ccc%10c9cc8c7cc6c5cc4cc3cc2s1,0.069835629,0.046791197,13.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0
44,S1C=CC=2C1=CC=C3C=CC=4SC=CC4C32,0.25,0.39,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
